ANNÉE;EDITION RENCONTRES TRANS MUSICALES ;ARTISTES;NOM SPECTACLE OU SOIRÉE;1ER PROJET ATM;1ERE DATE;1ERE SALLE;1ERE VILLE;2EME PROJET;2EME DATE;2EME SALLE;2EME VILLE;3EME PROJET;3EME DATE;3EME SALLE;3EME VILLE;4EME PROJET;4EME DATE;4EME SALLE;4EME VILLE;5EME PROJET;5EME DATE;5EME SALLE;5EME VILLE;6EME PROJET;6EME DATE;6EME SALLE;6EME VILLE;ORIGINES PAYS 1;ORIGINES PAYS 2;ORIGINES PAYS 3;ORIGINES PAYS 4;ORIGINES VILLE 1;ORIGINES VILLE 2;ORIGINES VILLE 3;ORIGINES VILLE 4;ANNEE  DE FORMATION;1ère SORTIE DISCOGRAPHIQUE
2013;35èmes Rencontres Trans Musicales de Rennes;Rouge Mécanique;;;2013-12-06;Parc des Expositions - Green Room;Bruz;;;;;;;;;;;;;;;;;;;;;France;;;;;;;;2009;2013.0
2013;35èmes Rencontres Trans Musicales de Rennes;Surfing Leons;;;2013-12-05;Parc des Expositions - Green Room;Bruz;;;;;;;;;;;;;;;;;;;;;Belgique;;;;;;;;2005;2011.0
2012;34èmes Rencontres Trans Musicales de Rennes;Get Your Gun;;Focus Européen;2012-12-08;Le 4 Bis;Rennes;;;;;;;;;;;;;;;;;;;;;Danemark;;;;;;;;2008;2011.0
2012;34èmes Rencontres Trans Musicales de Rennes;Hot Panda;;;2012-12-08;Parc des Expositions - Hall 3;Bruz;;;;;;;;;;;;;;;;;;;;;Canada;;;;Vancouver;;;;2006;2008.0
2012;34èmes Rencontres Trans Musicales de Rennes;Kwes;;;2012-12-08;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;Royaume-Uni;;;;Londres;;;;2005;2009.0
2012;34èmes Rencontres Trans Musicales de Rennes;Licornia;;Création;2012-12-05;L'Aire Libre;Saint-Jacques-de-la-Lande;Création;2012-12-06;L'Aire Libre;Saint-Jacques-de-la-Lande;Création;2012-12-07;L'Aire Libre;Saint-Jacques-de-la-Lande;Création;2012-12-08;L'Aire Libre;Saint-Jacques-de-la-Lande;;;;;;;;;France;;;;Bordeaux;;;;2007;
2012;34èmes Rencontres Trans Musicales de Rennes;Lolito;;Focus;2012-12-06;L'Étage;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;;;;;2009;2011.0
2012;34èmes Rencontres Trans Musicales de Rennes;Sinjin Hawke;;;2012-12-08;Parc des Expositions - Green Room;Bruz;;;;;;;;;;;;;;;;;;;;;Canada;Espagne;;;Montréal;;;;;2011.0
2012;34èmes Rencontres Trans Musicales de Rennes;Thumpers;;;2012-12-07;Parc des Expositions - Hall 3;Bruz;;;;;;;;;;;;;;;;;;;;;Royaume-Uni;;;;;;;;2012;2012.0
2012;34èmes Rencontres Trans Musicales de Rennes;Zam Rock;;;2012-12-08;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;Zambie;Allemagne;;;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;Zammuto;;;2012-12-08;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;États-Unis;;;;;;;;2011;2000.0
2011;33èmes Rencontres Trans Musicales de Rennes;Isbells;;Focus Européen;2011-12-02;Le 4 Bis;Rennes;;;;;;;;;;;;;;;;;;;;;Belgique;;;;;;;;2008;2009.0
2011;33èmes Rencontres Trans Musicales de Rennes;Kakkmaddafakka;;;2011-12-02;Parc des Expositions - Hall 3;Bruz;;;;;;;;;;;;;;;;;;;;;Norvège;;;;Bergen;;;;2004;2006.0
2011;33èmes Rencontres Trans Musicales de Rennes;Nekochan;;;2011-12-02;Parc des Expositions - Green Room;Bruz;;;;;;;;;;;;;;;;;;;;;France;;;;Lyon;;;;2006;2009.0
2011;33èmes Rencontres Trans Musicales de Rennes;Rhum For Pauline;;Tournée des Trans;2011-11-23;Stereolux;Nantes;Kaléidoscope;2011-11-26;Centre Culturel Jovence;Louvigné-du-Désert;Focus;2011-12-01;Ubu;Rennes;;;;;;;;;;;;;France;;;;Nantes;;;;2009;2010.0
2011;33èmes Rencontres Trans Musicales de Rennes;Souleance;;;2011-12-02;Parc des Expositions - Hall 9;Bruz;;;;;;;;;;;;;;;;;;;;;France;;;;Paris;;;;2007;2009.0
2011;33èmes Rencontres Trans Musicales de Rennes;Zak Laughed;;;2011-11-30;L'Aire Libre;Saint-Jacques-de-la-Lande;;;;;;;;;;;;;;;;;;;;;France;;;;Clermont-Ferrand;;;;2007;2007.0
2010;32èmes Rencontres Trans Musicales de Rennes;Beataucue;;;2010-11-25;Ubu;Rennes;;2010-12-09;Parc des Expositions - Hall 4;Bruz;;;;;;;;;;;;;;;;;France;;;;;;;;2009;2010.0
2010;32èmes Rencontres Trans Musicales de Rennes;Fake Blood;;;2010-12-10;Parc des Expositions - Hall 9;Bruz;;;;;;;;;;;;;;;;;;;;;Royaume-Uni;;;;;;;;2007;2008.0
2010;32èmes Rencontres Trans Musicales de Rennes;Théo Gravil;;;2010-12-11;Parc des Expositions - Hall 9;Bruz;;;;;;;;;;;;;;;;;;;;;France;;;;Rennes;;;;2008;
2010;Trans en Russie;Lipelis;;Les Trans à l'Export;2010-05-30;Arena 09;Moscou;;;;;;;;;;;;;;;;;;;;;Russie;;;;;;;;;
2010;Trans en Russie;Pompeya;;Les Trans à l'Export;2010-05-30;Arena 09;Moscou;;;;;;;;;;;;;;;;;;;;;Russie;;;;;;;;;
2009;31èmes Rencontres Trans Musicales de Rennes;Cass McCombs;;;2009-12-04;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;États-Unis;;;;;;;;;2002.0
2009;31èmes Rencontres Trans Musicales de Rennes;Dj South Central;;;2009-12-05;Parc des Expositions - Hall 9;Bruz;;;;;;;;;;;;;;;;;;;;;Royaume-Uni;;;;Brighton;;;;2006;2005.0
2008;30èmes Rencontres Trans Musicales de Rennes;Brodinski;;;2008-12-05;Parc des Expositions - Hall 9;Bruz;;;;;;;;;;;;;;;;;;;;;France;;;;;;;;2004;2007.0
2008;30èmes Rencontres Trans Musicales de Rennes;Compagnie Xpress;NaturELLEment;Danse Hip-Hop;2008-12-05;Le Triangle;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;;;;;2001;
