ANNÉE;EDITION RENCONTRES TRANS MUSICALES ;ARTISTES;NOM SPECTACLE OU SOIRÉE;1ER PROJET ATM;1ERE DATE;1ERE SALLE;1ERE VILLE;2EME PROJET;2EME DATE;2EME SALLE;2EME VILLE;3EME PROJET;3EME DATE;3EME SALLE;3EME VILLE;4EME PROJET;4EME DATE;4EME SALLE;4EME VILLE;5EME PROJET;5EME DATE;5EME SALLE;5EME VILLE;6EME PROJET;6EME DATE;6EME SALLE;6EME VILLE;ORIGINES PAYS 1;ORIGINES PAYS 2;ORIGINES PAYS 3;ORIGINES PAYS 4;ORIGINES VILLE 1;ORIGINES VILLE 2;ORIGINES VILLE 3;ORIGINES VILLE 4;ANNEE  DE FORMATION;1ère SORTIE DISCOGRAPHIQUE
2008;30èmes Rencontres Trans Musicales de Rennes;Leon Jean Marie;;;2008-12-06;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;Royaume-Uni;;;;Londres;;;;2006;2007.0
2008;30èmes Rencontres Trans Musicales de Rennes;Metal On Metal;;;2008-12-06;Parc des Expositions - Hall 9;Bruz;;;;;;;;;;;;;;;;;;;;;Lituanie;;;;Vilnius;;;;2005;2007.0
2008;30èmes Rencontres Trans Musicales de Rennes;Sebastian;;;2008-12-05;Parc des Expositions - Hall 9;Bruz;;;;;;;;;;;;;;;;;;;;;France;;;;;;;;2004;2005.0
2008;30èmes Rencontres Trans Musicales de Rennes;The Count and Sinden Soundsystem;;;2008-12-06;Parc des Expositions - Hall 4;Bruz;;;;;;;;;;;;;;;;;;;;;Royaume-Uni;;;;Londres;;;;2008;2008.0
2007;29èmes Rencontres Trans Musicales de Rennes;Ipso Facto;;;2007-12-06;Parc des Expositions - Hall 3;Bruz;;;;;;;;;;;;;;;;;;;;;Royaume-Uni;;;;Londres;;;;;2007.0
2007;29èmes Rencontres Trans Musicales de Rennes;I Was There;;;2007-12-06;Parc des Expositions - Hall 4;Bruz;;;;;;;;;;;;;;;;;;;;;France;;;;Paris;;;;2005;
2007;29èmes Rencontres Trans Musicales de Rennes;The View;;;2007-12-06;Parc des Expositions - Hall 4;Bruz;;;;;;;;;;;;;;;;;;;;;Royaume-Uni;;;;Dryburgh;;;;2005;2006.0
2006;28èmes Rencontres Trans Musicales de Rennes;Razorlight;;;2006-12-07;Parc des Expositions - Hall 9;Bruz;;;;;;;;;;;;;;;;;;;;;Royaume-Uni;;;;Londres;;;;2002;2003.0
2006;28èmes Rencontres Trans Musicales de Rennes;Stuurbaard Bakkebaard;;;2006-12-07;Parc des Expositions - Hall 3;Bruz;;;;;;;;;;;;;;;;;;;;;Pays-Bas;;;;Eindhoven;;;;1996;2001.0
2005;27èmes Rencontres Trans Musicales de Rennes;Hip-J;;;2005-12-10;Parc des Expositions - Hall 9;Bruz;;;;;;;;;;;;;;;;;;;;;France;;;;Rennes;;;;1998;2006.0
2005;27èmes Rencontres Trans Musicales de Rennes;Olli & The Bollywood Orchestra feat. DJ Swami, Amar, Supreet Suri;;;2005-12-08;Parc des Expositions - Hall 5;Bruz;;;;;;;;;;;;;;;;;;;;;France;;;;;;;;2003;2005.0
2005;Trans en Chine;Digicay;;Les Trans à l'Export;2005-06-18;Chaoyang Park;Pékin;;2005-06-18;Lounge du Tango;Pékin;;2005-06-19;Hall du Tango;Pékin;;;;;;;;;;;;;France;;;;Rennes;;;;;2001.0
2004;26èmes Rencontres Trans Musicales de Rennes;Pat Panik meets Netik;;;2004-12-04;Parc des Expositions - Hall 9;Bruz;;;;;;;;;;;;;;;;;;;;;France;;;;Rennes;;;;;2004.0
2004;26èmes Rencontres Trans Musicales de Rennes;Teddybears STHML;;;2004-12-04;Parc des Expositions - Hall 4;Bruz;;;;;;;;;;;;;;;;;;;;;Suède;;;;Stockholm;;;;1991;1993.0
2003;25èmes Rencontres Trans Musicales de Rennes;Moller Plesset;;Tournée des Trans;2003-11-20;Salle du CLOUS;Brest;Tournée des Trans;2003-11-26;Ubu;Rennes;;2003-12-05;Village;Rennes;;;;;;;;;;;;;France;;;;Rennes;;;;1996;2003.0
2003;25èmes Rencontres Trans Musicales de Rennes;Sitronapoo;;Tournée des Trans;2003-11-26;Ubu;Rennes;Tournée des Trans;2003-11-29;Run Ar Puns;Châteaulin;;2003-12-06;Village;Rennes;;;;;;;;;;;;;France;;;;Saint-Brieuc;;;;2000;2002.0
2002;24èmes Rencontres Trans Musicales de Rennes;Dgiz;;;2002-12-06;Village;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;Paris;;;;2001;2001.0
2002;24èmes Rencontres Trans Musicales de Rennes;Earl Zinger;;;2002-12-07;Liberté Bas;Rennes;;;;;;;;;;;;;;;;;;;;;Royaume-Uni;;;;Londres;;;;;2000 (1987 avec Galliano)
2002;24èmes Rencontres Trans Musicales de Rennes;El Diablo;;;2002-12-05;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;Réunion;;;;;2001.0
2002;24èmes Rencontres Trans Musicales de Rennes;Millionaire;;;2002-12-05;Liberté Bas;Rennes;;;;;;;;;;;;;;;;;;;;;Belgique;;;;;;;;1999;2001.0
2002;24èmes Rencontres Trans Musicales de Rennes;Senses;;;2002-12-05;Liberté Bas;Rennes;;;;;;;;;;;;;;;;;;;;;Inde;;;;;;;;;1999.0
2001;23èmes Rencontres Trans Musicales de Rennes;Aesop Rock;;;2001-12-01;Liberté Haut;Rennes;;;;;;;;;;;;;;;;;;;;;États-Unis;;;;New York City;;;;1997;1997.0
2001;23èmes Rencontres Trans Musicales de Rennes;Carl Hancock Rux;;;2001-11-30;Liberté Bas;Rennes;;;;;;;;;;;;;;;;;;;;;États-Unis;;;;New York City;;;;;1999.0
2000;22èmes Rencontres Trans Musicales de Rennes;Bumcello;;;2000-11-29;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;Paris;;;;1999;1999.0
2000;22èmes Rencontres Trans Musicales de Rennes;Les Nubians;;;2000-11-30;Liberté Bas;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;Bordeaux;;;;;1998.0
2000;22èmes Rencontres Trans Musicales de Rennes;MC Paul Barman;;;2000-12-02;Liberté Haut;Rennes;;;;;;;;;;;;;;;;;;;;;États-Unis;;;;Ridgewood;;;;;1998.0
2000;22èmes Rencontres Trans Musicales de Rennes;Morgan;;;2000-12-01;Liberté Haut;Rennes;;;;;;;;;;;;;;;;;;;;;Royaume-Uni;;;;;;;;;1988.0
2000;22èmes Rencontres Trans Musicales de Rennes;Mr. & Mrs Cameron;;;2000-12-01;Liberté Bas;Rennes;;;;;;;;;;;;;;;;;;;;;Pays-Bas;;;;;;;;;1997 (1995 avec Popcorn)
2000;22èmes Rencontres Trans Musicales de Rennes;Tonino Carotone;;;2000-12-01;Liberté Bas;Rennes;;;;;;;;;;;;;;;;;;;;;Espagne;;;;;;;;;1999.0
1999;21èmes Rencontres Trans Musicales de Rennes;Leftfield DJ Set feat. Leftfield's P. Daley with N. Rapaccioli & MC Cheshire Cat;;;1999-12-04;Liberté Bas;Rennes;;;;;;;;;;;;;;;;;;;;;Royaume-Uni;;;;Londres;;;;1990;1990.0
1998;20èmes Rencontres Trans Musicales de Rennes;DJ Core Dump;;;1998-12-05;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;Rennes;;;;;
1997;19èmes Rencontres Trans Musicales de Rennes;Invisible Pair of Hands;;;1997-12-02;Ubu;Rennes;;;;;;;;;;;;;;;;;;;;;Royaume-Uni;;;;Bristol;;;;;1996.0
1997;19èmes Rencontres Trans Musicales de Rennes;Rocket From The Crypt;;;1997-12-05;Liberté;Rennes;;;;;;;;;;;;;;;;;;;;;États-Unis;;;;San Diego;;;;1990;1991.0
1997;19èmes Rencontres Trans Musicales de Rennes;Subject 13;Soirée Planète;;1997-12-06;Parc des Expositions - La Forêt;Bruz;;;;;;;;;;;;;;;;;;;;;Royaume-Uni;;;;Londres;;;;;1990.0
1997;19èmes Rencontres Trans Musicales de Rennes;Yann Tiersen;Le Phare;Création;1997-12-03;L'Aire Libre;Saint-Jacques-de-la-Lande;Création;1997-12-04;L'Aire Libre;Saint-Jacques-de-la-Lande;Création;1997-12-05;L'Aire Libre;Saint-Jacques-de-la-Lande;Création;1997-12-06;L'Aire Libre;Saint-Jacques-de-la-Lande;;;;;;;;;France;;;;Brest;;;;;1995.0
1996;18èmes Rencontres Trans Musicales de Rennes;DJ Tonka;Soirée Planète;;1996-12-07;Parc des Expositions - House Hall;Bruz;;;;;;;;;;;;;;;;;;;;;Allemagne;;;;;;;;;1995.0
1996;18èmes Rencontres Trans Musicales de Rennes;François Merville Quintet;;Quartiers en Trans;1996-12-05;Ferme de la Harpe;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;;;;;;1994.0
2013;35èmes Rencontres Trans Musicales de Rennes;Mozes & The Firstborn;;;2013-12-06;Parc des Expositions - Hall 3;Bruz;;;;;;;;;;;;;;;;;;;;;Pays-Bas;;;;;;;;2010;2013.0
2012;34èmes Rencontres Trans Musicales de Rennes;Jupiter;;;2012-12-07;Parc des Expositions - Hall 4;Bruz;;2012-12-07;Parc des Expositions - Hall 4;Bruz;;;;;;;;;;;;;;;;;France;;;;;;;;2008;2008.0
2012;34èmes Rencontres Trans Musicales de Rennes;Kölsch;;;2012-12-08;Parc des Expositions - Green Room;Bruz;;;;;;;;;;;;;;;;;;;;;Danemark;;;;;;;;1995;2010.0
2012;34èmes Rencontres Trans Musicales de Rennes;Phoebe Jean & The Airforce;;;2012-12-07;Parc des Expositions - Hall 4;Bruz;;;;;;;;;;;;;;;;;;;;;États-Unis;;;;Baltimore;;;;2007;2012.0
2011;33èmes Rencontres Trans Musicales de Rennes;Capacocha;;;2011-12-01;Liberté Bas;Rennes;;;;;;;;;;;;;;;;;;;;;Pays-Bas;;;;;;;;2006;2009.0
2011;33èmes Rencontres Trans Musicales de Rennes;Huoratron;;;2011-12-03;Parc des Expositions - Hall 9;Bruz;;;;;;;;;;;;;;;;;;;;;Finlande;;;;Helsinki;;;;2002;2004.0
2011;33èmes Rencontres Trans Musicales de Rennes;Numeric Ravers;;Tournée des Trans;2011-11-18;Le Coatélan;Morlaix;;2011-12-03;Parc des Expositions - Green Room;Bruz;;;;;;;;;;;;;;;;;France;;;;;;;;2011;
2010;32èmes Rencontres Trans Musicales de Rennes;Compagnie Cool Spirit;;Danse Hip-Hop;2010-12-10;Le Triangle;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;;;;;;
2010;32èmes Rencontres Trans Musicales de Rennes;DJ Ordoeuvre;;;2010-12-10;Parc des Expositions - Hall 9;Bruz;;;;;;;;;;;;;;;;;;;;;France;;;;Rennes;;;;Début des années 2000;2009.0
2010;32èmes Rencontres Trans Musicales de Rennes;DJ Sambal;;;2010-12-10;Parc des Expositions - Hall 3;Bruz;;;;;;;;;;;;;;;;;;;;;France;;;;Rennes;;;;2005;
2010;32èmes Rencontres Trans Musicales de Rennes;James Unk;;;2010-12-10;Parc des Expositions - Green Room;Bruz;;;;;;;;;;;;;;;;;;;;;France;;;;Rennes;;;;2006;
2010;32èmes Rencontres Trans Musicales de Rennes;M.I.A.;;;2010-12-10;Parc des Expositions - Hall 9;Bruz;;;;;;;;;;;;;;;;;;;;;Royaume-Uni;;;;Londres;;;;2003;2005.0
2010;Trans à Brno;Danton Eeprom;;Les Trans à l'Export;2010-03-26;Fleda;Brno;;;;;;;;;;;;;;;;;;;;;France;;;;;;;;;
2009;31èmes Rencontres Trans Musicales de Rennes;Django Django;;;2009-12-05;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;Royaume-Uni;;;;Ecosse;;;;;2009.0
2009;31èmes Rencontres Trans Musicales de Rennes;Oil B;;;2009-12-04;Parc des Expositions - Green Room;Bruz;;2009-12-05;Parc des Expositions - Green Room;Bruz;;;;;;;;;;;;;;;;;France;;;;Rennes;;;;;
2009;31èmes Rencontres Trans Musicales de Rennes;Slow Joe and the Ginger Accident;;;2009-12-02;Ubu;Rennes;Conférence-Concert du Jeu de l'ouïe;2009-12-03;Les Champs Libres;Rennes;;2009-12-04;Parc des Expositions - Hall 4;Bruz;;;;;;;;;;;;;Inde;France;;;;;Lyon;;2007;
2009;Trans en Russie;Tepr;;Les Trans à l'Export;2009-06-18;Arena 09;Moscou;;;;;;;;;;;;;;;;;;;;;France;;;;Morlaix;;;;;2002.0
2008;30èmes Rencontres Trans Musicales de Rennes;Birdy Nam Nam;;;2008-12-05;Parc des Expositions - Hall 9;Bruz;;;;;;;;;;;;;;;;;;;;;France;;;;;;;;2002;2004.0
2008;30èmes Rencontres Trans Musicales de Rennes;Budam;;;2008-12-03;L'Aire Libre;Saint-Jacques-de-la-Lande;;2008-12-04;L'Aire Libre;Saint-Jacques-de-la-Lande;;2008-12-05;L'Aire Libre;Saint-Jacques-de-la-Lande;;2008-12-06;L'Aire Libre;Saint-Jacques-de-la-Lande;;2008-12-07;L'Aire Libre;Saint-Jacques-de-la-Lande;;;;;Iles Féroé;;;;;;;;2007;2007.0
1996;18èmes Rencontres Trans Musicales de Rennes;Soulchoc;;Quartiers en Trans;1996-12-06;Maison de Quartier Villejean;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;Angers;;;;;
1995;17èmes Rencontres Trans Musicales de Rennes;DJ Mau-Mau;Soirée Planète;;1995-12-02;Parc des Expositions - Techno Hall;Bruz;;;;;;;;;;;;;;;;;;;;;Brésil;;;;;;;;1987;
1995;17èmes Rencontres Trans Musicales de Rennes;James Hall;;;1995-12-01;Salle Omnisports;Rennes;;;;;;;;;;;;;;;;;;;;;États-Unis;;;;Atlanta;;;;1987;
1995;17èmes Rencontres Trans Musicales de Rennes;Little Annie;15ème Anniversaire On-U-Sound;;1995-12-01;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;États-Unis;;;;New York City;;;;1977;1992.0
1995;17èmes Rencontres Trans Musicales de Rennes;MC Ribs;Soirée Planète;;1995-12-02;Parc des Expositions - Techno Hall;Bruz;;;;;;;;;;;;;;;;;;;;;Royaume-Uni;;;;;;;;1993;
1995;17èmes Rencontres Trans Musicales de Rennes;Ruby;;;1995-11-30;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;Royaume-Uni;;;;Londres;;;;1994;1995.0
1995;17èmes Rencontres Trans Musicales de Rennes;Saï Saï;;Quartiers en Trans;1995-12-02;La Bellangerais;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;Paris;;;;1985;1992.0
1994;16èmes Rencontres Trans Musicales de Rennes;Drive Blind;;Quartiers en Trans;1994-12-03;MJC Cleunay;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;Nîmes;;;;1990;1993.0
1994;16èmes Rencontres Trans Musicales de Rennes;Kcongo's Gruv;;Quartiers en Trans;1994-12-03;La Bellangerais;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;Rennes;;;;;
1993;15èmes Rencontres Trans Musicales de Rennes;Laurent Warin;Rave Ô Trans II;;1993-12-02;L'Espace;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;Paris;;;;;
1993;15èmes Rencontres Trans Musicales de Rennes;Link Wray;;;1993-12-04;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;États-Unis;;;;Washington DC;;;;;1956.0
1992;14èmes Rencontres Trans Musicales de Rennes;13th Hole;Rosebud Party;;1992-12-04;Ubu;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;Rennes;;;;;1992.0
1992;14èmes Rencontres Trans Musicales de Rennes;Cowboy Mouth;;;1992-12-05;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;États-Unis;;;;La Nouvelle-Orléans;;;;1990;1992.0
1992;14èmes Rencontres Trans Musicales de Rennes;Underground Resistance;Rave Ô Trans;;1992-12-05;Salle Omnisports;Rennes;;;;;;;;;;;;;;;;;;;;;États-Unis;;;;Detroit;;;;1989;1990.0
1991;13èmes Rencontres Trans Musicales de Rennes;City Kings;;Quartiers en Trans;1991-12-04;Maison de Quartier Le Blosne;Rennes;Quartiers en Trans;1991-12-05;Maison de Quartier Maurepas;Rennes;;;;;;;;;;;;;;;;;France;;;;Rennes;;;;;
1991;13èmes Rencontres Trans Musicales de Rennes;Will T.Massey;;;1991-12-07;Le Cactus;Rennes;;;;;;;;;;;;;;;;;;;;;États-Unis;;;;Austin;;;;;1991.0
1990;12èmes Rencontres Trans Musicales de Rennes;Stepping Stones;;Bars en Trans;1990-12-06;L'Inconnu;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;Paris;;;;;1990.0
1989;11èmes Rencontres Trans Musicales de Rennes;Anna Palm;;;1989-12-06;Ubu;Rennes;;;;;;;;;;;;;;;;;;;;;Royaume-Uni;;;;Londres;;;;;1988.0
1989;11èmes Rencontres Trans Musicales de Rennes;Royal Crescent Mob;;;1989-12-10;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;États-Unis;;;;Colombus;;;;1985;1987.0
1989;11èmes Rencontres Trans Musicales de Rennes;The Beatnigs;;;1989-12-09;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;États-Unis;;;;San Francisco;;;;1987;1988.0
1988;10èmes Rencontres Trans Musicales de Rennes;Kampec Dolores;;;1988-12-03;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;Hongrie;;;;Budapest;;;;1984;1988.0
1987;9èmes Rencontres Trans Musicales de Rennes;Babylon Fighters;;;1987-12-11;Ubu;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;Saint-Etienne;;;;;1986.0
1987;9èmes Rencontres Trans Musicales de Rennes;Gipsy Kings;;;1987-12-13;L'Espace;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;Montpellier;;;;1982;1987.0
1987;9èmes Rencontres Trans Musicales de Rennes;Hôtel du Nord;;Apéro'Trans;1987-12-13;Les Temps Modernes;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;Rennes;;;;;
1987;9èmes Rencontres Trans Musicales de Rennes;Royal Deluxe;La Demi-Finale du Waterclash;;1987-12-12;Place de la Mairie;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;Aix-en-Provence;;;;1978;
1987;9èmes Rencontres Trans Musicales de Rennes;Von Magnet;El Sexo Sur-Realista;;1987-12-07;Grand Huit;Rennes;;;;;;;;;;;;;;;;;;;;;France;Royaume-Uni;;;Paris;Londres;;;1985;1986.0
1986;8èmes Rencontres Trans Musicales de Rennes;Cast of Thousands;;;1986-12-12;Ubu;Rennes;;;;;;;;;;;;;;;;;;;;;Irlande;;;;;;;;;1987.0
1986;8èmes Rencontres Trans Musicales de Rennes;Robert Farrel;Daho en concert avec ses amis;;1986-12-09;Salle Omnisports;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;;;;;;
1986;8èmes Rencontres Trans Musicales de Rennes;Ubik;;;1986-12-13;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;Rennes;;;;1981;1983.0
1986;8èmes Rencontres Trans Musicales de Rennes;Wart;La Fiesta Berurière;;1986-12-14;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;Rennes;;;;;1986.0
1985;7èmes Rencontres Trans Musicales de Rennes;Doctor and the Medics;;;1985-12-18;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;Royaume-Uni;;;;Londres;;;;1981;1982.0
1983;5èmes Rencontres Trans Musicales de Rennes;TC Matic;;;1983-12-14;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;Belgique;;;;Ostende;;;;1980;1980.0
1983;5èmes Rencontres Trans Musicales de Rennes;The Outlines;;;1983-12-13;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;Marly-le-roi;;;;1981;1983.0
1982;4èmes Rencontres Trans Musicales de Rennes;Des Airs;"Nuit ""Crammed Discs""";;1982-12-14;Amphi Chateaubriand;Rennes;;;;;;;;;;;;;;;;;;;;;Belgique;;;;Bruxelles;;;;;1982.0
1982;4èmes Rencontres Trans Musicales de Rennes;Dolce Vita;;;1982-12-15;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;Paris;;;;;1981.0
1982;4èmes Rencontres Trans Musicales de Rennes;Kas Product;;;1982-12-16;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;Nancy;;;;;
1982;4èmes Rencontres Trans Musicales de Rennes;Pelle Miljoona;;;1982-12-17;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;Finlande;;;;Helsinki;;;;1979;1980.0
1980;2èmes Rencontres Trans Musicales de Rennes;Mister Mongol;;;1980-12-17;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;Paris;;;;;
2017;39èmes Rencontres Trans Musicales de Rennes;Tchewsky & Wood;;;2017-12-08;L'Aire Libre;Saint-Jacques-de-la-Lande;;2017-12-09;L'Aire Libre;Saint-Jacques-de-la-Lande;;2007-12-10;L'Aire Libre;Saint-Jacques-de-la-Lande;;;;;;;;;;;;;France;;;;Rennes;;;;2015;
2016;38èmes Rencontres Trans Musicales de Rennes;AmZo;;;2016-12-03;Parc des Expositions - Hall 3;Bruz;;;;;;;;;;;;;;;;;;;;;France;;;;Saintes;;;;2014 (2008 en tant que membre de Frànçois And The Atlas Mountains);
2016;38èmes Rencontres Trans Musicales de Rennes;Canari;;;2016-12-04;Théâtre du Vieux Saint-Etienne;Rennes;;2016-12-04;Théâtre du Vieux Saint-Etienne;Rennes;;;;;;;;;;;;;;;;;France;;;;Paris;;;;2014;
2016;38èmes Rencontres Trans Musicales de Rennes;DJ Fly & DJ Netik;;;2016-12-02;Parc des Expositions - Hall 9;Bruz;;;;;;;;;;;;;;;;;;;;;France;;;;Lyon;Rennes;;;2015 (1998 pour DJ Fly / 1997 pour DJ Netik);
2016;38èmes Rencontres Trans Musicales de Rennes;Liev;;;2016-11-30;Ubu;Rennes;;;;;;;;;;;;;;;;;;;;;Belgique;;;;Namur;;;;2016;
2016;38èmes Rencontres Trans Musicales de Rennes;Thérapie Taxi;;;2016-12-04;Théâtre du Vieux Saint-Etienne;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;Paris;;;;2013 (d'abord sous le nom Milky WAY, puis Thérapie TAXI à partir de 2016);
2015;37èmes Rencontres Trans Musicales de Rennes;Apollonia;;;2015-12-03;Parc des Expositions - Green Room;Bruz;;;;;;;;;;;;;;;;;;;;;France;;;;Paris;Berlin;;;;2012.0
2015;37èmes Rencontres Trans Musicales de Rennes;Grand Cannon;;;2015-12-04;Parc des Expositions - Hall 8;Bruz;Concert des Familles;2015-12-05;Ubu;Rennes;;;;;;;;;;;;;;;;;Suisse;Autriche;États-Unis;;;;;;2013;2014.0
2015;37èmes Rencontres Trans Musicales de Rennes;Hector Bizerk;;;2015-12-03;Parc des Expositions - Hall 3;Bruz;;;;;;;;;;;;;;;;;;;;;Royaume-Uni;;;;Glasgow;;;;2011;2011.0
2015;37èmes Rencontres Trans Musicales de Rennes;Selvagem;;;2015-12-06;Ubu;Rennes;;;;;;;;;;;;;;;;;;;;;Brésil;;;;São Paulo;;;;2011;2013.0
2014;36èmes Rencontres Trans Musicales de Rennes;Kosmo Pilot;;;2014-12-04;Parc des Expositions - Hall 3;Bruz;;;;;;;;;;;;;;;;;;;;;France;;;;Saint-Malo;;;;2009;
2014;36èmes Rencontres Trans Musicales de Rennes;Oso Leone;;;2014-12-06;Parc des Expositions - Hall 3;Bruz;;;;;;;;;;;;;;;;;;;;;Espagne;;;;Palma de Majorque;;;;2010;2011.0
2013;35èmes Rencontres Trans Musicales de Rennes;Bosco Delrey;;;2013-12-05;Parc des Expositions - Hall 3;Bruz;;;;;;;;;;;;;;;;;;;;;États-Unis;;;;;;;;2009;2010.0
2017;39èmes Rencontres Trans Musicales de Rennes;Nakhane;;Création;2017-12-06;L'Aire Libre;Saint-Jacques-de-la-Lande;Création;2017-12-07;L'Aire Libre;Saint-Jacques-de-la-Lande;Création;2017-12-08;L'Aire Libre;Saint-Jacques-de-la-Lande;Création;2017-12-09;L'Aire Libre;Saint-Jacques-de-la-Lande;Création;2017-12-10;L'Aire Libre;Saint-Jacques-de-la-Lande;;;;;Afrique du Sud;;;;Alice;Johannesbourg;;;2010;
2018;40èmes Rencontres Trans Musicales de Rennes;The Surrenders;;;2018-12-07;Parc des Expositions - Hall 3;Bruz;;;;;;;;;;;;;;;;;;;;;Royaume-Uni;;;;Birmingham;Dudley;Gornal;;2013;
2018;40èmes Rencontres Trans Musicales de Rennes;Ouai Stéphane;;;2018-12-07;Parc des Expositions - Hall 9;Bruz;;;;;;;;;;;;;;;;;;;;;France;;;;Paris;;;;2017;
2006;28èmes Rencontres Trans Musicales de Rennes;DJ Flow & Mc Darrison;;Tournée des Trans;2006-11-10;Le Thy'roir;Ploërmel;Tournée des Trans;2006-11-09;L'Olympic;Nantes;Tournée des Trans;2006-11-30;César;Brest;;2006-12-09;Parc des Expositions - Hall 3;Bruz;;;;;;;;;France;;;;Rennes;;;;;2003.0
2007;29èmes Rencontres Trans Musicales de Rennes;Tiny Masters Of Today;;;2007-12-07;Parc des Expositions - Hall 3;Bruz;;;;;;;;;;;;;;;;;;;;;États-Unis;;;;New York City;;;;2005;2006.0
2006;28èmes Rencontres Trans Musicales de Rennes;Beats & Styles;;;2006-12-08;Parc des Expositions - Hall 9;Bruz;;;;;;;;;;;;;;;;;;;;;Finlande;;;;;;;;1996;2002.0
2006;28èmes Rencontres Trans Musicales de Rennes;DJ Le Clown;;;2006-12-07;Parc des Expositions - Hall 3;Bruz;;;;;;;;;;;;;;;;;;;;;France;;;;Rennes;;;;;1983.0
2005;27èmes Rencontres Trans Musicales de Rennes;Shukar Collective;;;2005-12-08;Parc des Expositions - Hall 5;Bruz;;;;;;;;;;;;;;;;;;;;;Roumanie;;;;;;;;2004;2005.0
2004;26èmes Rencontres Trans Musicales de Rennes;DJ Netik & DJ Troubl';;;2004-12-03;Parc des Expositions - Hall 9;Bruz;;;;;;;;;;;;;;;;;;;;;France;;;;Rennes;;;;1997;2004.0
2004;26èmes Rencontres Trans Musicales de Rennes;DJ Mo;;;2004-12-03;Parc des Expositions - Hall 5;Bruz;;;;;;;;;;;;;;;;;;;;;Mali;;;;;;;;;2005.0
2002;24èmes Rencontres Trans Musicales de Rennes;Carmel;;;2002-12-06;Antipode;Rennes;;;;;;;;;;;;;;;;;;;;;Hongrie;;;;;;;;;2002.0
2002;24èmes Rencontres Trans Musicales de Rennes;DJ Marmaille;;;2002-12-05;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;Rennes;;;;;
2007;29èmes Rencontres Trans Musicales de Rennes;Jamika;;;2007-12-08;Parc des Expositions - Hall 4;Bruz;;;;;;;;;;;;;;;;;;;;;Royaume-Uni;France;;;Londres;Paris;;;1999;
2007;29èmes Rencontres Trans Musicales de Rennes;Guns'n'Bombs;;;2007-12-08;Parc des Expositions - Hall 3;Bruz;;;;;;;;;;;;;;;;;;;;;États-Unis;;;;Los Angeles;;;;2006;2006.0
2005;27èmes Rencontres Trans Musicales de Rennes;Dring Toy;;Tournée des Trans;2005-11-10;Le VIP;Saint-Nazaire;Tournée des Trans;2005-11-25;Le Vauban;Brest;Tournée des Trans;2005-12-02;Run Ar Puns;Châteaulin;;2005-12-10;Village;Rennes;;;;;;;;;France;;;;Rennes;;;;2002;2005.0
2003;25èmes Rencontres Trans Musicales de Rennes;The Weather (feat. Busdriver, Daedelus & Radioinactive);;;2003-12-06;Liberté Haut;Rennes;;;;;;;;;;;;;;;;;;;;;États-Unis;;;;Los Angeles;;;;2003;2003.0
2003;Trans à la Réunion;Bikini Machine;;Les Trans à l'Export;2003-03-07;Bato Fou;Saint-Pierre de la Réunion;;;;;;;;;;;;;;;;;;;;;France;;;;Rennes;;;;2002;
